Planet Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period (days),Planet Radius (Earth Radius),Planet Mass,Distance From Earth,Release Date
HD 209458 b,1,1,Radial Velocity,1999,W. M. Keck Observatory,3.5247546,16.378,,48.3016,11/20/2024 0:00
HD 210193 b,1,1,Radial Velocity,2019,Las Campanas Observatory,649.918,,153.1,42.2029,5/23/2019 0:00
HD 210277 b,1,1,Radial Velocity,1998,W. M. Keck Observatory,442.943,,392.83591,21.2985,9/20/2021 0:00
HD 210702 b,1,1,Radial Velocity,2007,Lick Observatory,355.5,,481.51004,54.1963,9/19/2023 0:00
HD 211403 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,223.8,,1760.76937,83.0919,10/19/2021 0:00
HD 211810 b,1,1,Radial Velocity,2018,W. M. Keck Observatory,1558,,212.9461,64.6353,9/27/2018 0:00
HD 211970 b,1,1,Radial Velocity,2019,Las Campanas Observatory,25.201,,13,13.1277,5/23/2019 0:00
HD 212301 b,2,1,Radial Velocity,2005,La Silla Observatory,2.24571,,162.0933,54.2304,9/6/2018 0:00
HD 212771 b,1,1,Radial Velocity,2009,W. M. Keck Observatory,380.7,,759.6137,111.155,12/6/2018 0:00
HD 213240 b,2,1,Radial Velocity,2001,La Silla Observatory,879.19,,1655.886,40.8707,6/12/2023 0:00
HD 213472 b,1,1,Radial Velocity,2021,Multiple Observatories,17000,,1112.39942,64.4527,9/20/2021 0:00
HD 213519 b,1,1,Radial Velocity,2022,Multiple Observatories,11.12214,,9.21702,41.0014,6/14/2023 0:00
HD 213885 b,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1.0082361,1.72,,48.0883,12/4/2023 0:00
HD 213885 c,1,2,Radial Velocity,2019,Multiple Observatories,4.78503,,19.95,48.0883,12/5/2019 0:00
HD 21411 b,1,1,Radial Velocity,2019,Las Campanas Observatory,84.288,,65.9,29.1328,5/23/2019 0:00
HD 214823 b,2,1,Radial Velocity,2016,Haute-Provence Observatory,1854.84424,,5914.78665,101.368,6/12/2023 0:00
HD 215152 b,1,4,Radial Velocity,2018,La Silla Observatory,5.75999,,1.819,21.5974,2/22/2018 0:00
HD 215152 c,1,4,Radial Velocity,2018,La Silla Observatory,7.28243,,1.72,21.5974,2/22/2018 0:00
HD 215152 d,1,4,Radial Velocity,2018,La Silla Observatory,10.86499,,2.801,21.5974,2/22/2018 0:00
HD 215152 e,1,4,Radial Velocity,2018,La Silla Observatory,25.1967,,2.877,21.5974,2/22/2018 0:00
HD 21520 b,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),25.1292,2.697,17.7,79.208,9/13/2024 0:00
HD 215497 b,1,2,Radial Velocity,2009,La Silla Observatory,3.93404,,6.3566,40.5468,9/6/2018 0:00
HD 215497 c,1,2,Radial Velocity,2009,La Silla Observatory,566,,111.23994,40.5468,9/5/2023 0:00
HD 216435 b,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1391,,400.45,32.9834,8/21/2014 0:00
HD 216437 b,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1359,,1334.87931,26.6902,9/5/2023 0:00
HD 216520 b,1,2,Radial Velocity,2020,Multiple Observatories,35.466,,10.36121,19.552,9/20/2021 0:00
HD 216520 c,1,2,Radial Velocity,2020,Multiple Observatories,154.43,,9.44,19.552,12/17/2020 0:00
HD 216536 b,1,1,Radial Velocity,2015,McDonald Observatory,148.60001,,333.7215,376.233,9/6/2018 0:00
HD 216770 b,1,1,Radial Velocity,2003,La Silla Observatory,118.45,,181.1631,36.6625,9/6/2018 0:00
HD 21693 b,1,2,Radial Velocity,2019,La Silla Observatory,22.6786,,8.23,33.255,2/7/2019 0:00
HD 21693 c,1,2,Radial Velocity,2019,La Silla Observatory,53.7357,,17.37,33.255,2/7/2019 0:00
HD 217107 b,1,2,Radial Velocity,1998,Lick Observatory,7.1268744,,440.19234,20.0619,5/9/2022 0:00
